à,在,,,,
abord(d'),首先,,,,
accrocher,挂上，钩住,,,,
admirer,欣赏,,,,
adorer,喜爱,,,,
affaires,日用物品，衣服,,,,
?ge,年龄,,,,
agréable,舒适的，愉快的,,,,
ah,啊！,,,,
aider,帮助,,,,
aimer,爱，喜欢,,,,
ainsi,如此,,,,
air,举止，神情,,,,
avoir l'air(+adj.),好像，仿佛,,,,
aise,舒服，适意,,,,
à l'aise,自在，不拘束,,,,
ajouter,增加，补充说,,,,
aller,去,,,,
?a va,行，好,,,,
Comment allez-vous?,你身体好吗？,,,,
"aller à,dans…",去…,,,,
aller faire qch.,去干某事，将干某事,,,,
all?,喂,,,,
allumer,点燃,,,,
alors,那么,,,,
"ami,-e",朋友,,,,
an,一年，一岁,,,,
Nouvel An,新年,,,,
"ancien,-ne",旧的,,,,
année,年,,,,
annoncer,宣布,,,,
appareil,仪器；电话机,,,,
appartement,成套房间,,,,
appeler,呼唤,,,,
s'appeler,名叫,,,,
appétit,食欲，胃口,,,,
avoir de l'appétit,有胃口,,,,
apporter,带来，拿来,,,,
apprendre,学习,,,,
après,在…以后；以后,,,,
d'après,根据,,,,
après-midi,下午,,,,
arbre,树,,,,
argent,银/钱,,,,
armoire,衣橱,,,,
arranger,安排,,,,
s'arranger,安排,,,,
arrivée,到达,,,,
arriver,到达,,,,
art,艺术,,,,
les beaux arts,美术,,,,
asseoir(s'),坐下,,,,
assez,足够,,,,
assiette,盘，碟,,,,
association,协会,,,,
attendre,等待,,,,
attente,等侍,,,,
"attentif,-ve",专心的,,,,
aujourd'hui,今天,,,,
aussi,也,,,,
autobus,公共汽车,,,,
automne,秋,,,,
autour de,在…周围,,,,
autre,另外的，其他的,,,,
avant,在…以前,,,,
avant de (faire qch),在（做某事）以前,,,,
avec,与…一起,,,,
avis,意见,,,,
à mon(ton)avis,依我（你）看,,,,
avoir ,有,,,,
avril,四月,,,,
bagages,行李,,,,
baguette,小棒 长棍面包,,,,
des baguettes,筷子,,,,
bain,洗澡,,,,
salle de bains,洗澡间,,,,
ballon,球,,,,
banane,香蕉,,,,
banlieue,郊区,,,,
barque,小船,,,,
bas,下部,,,,
en bas,在下面,,,,
"beau(bel,belle)",美丽的,,,,
beaucoup,许多,,,,
beaucoup de,许多,,,,
belge,比利时的,,,,
Belge,比利时人,,,,
bibliothèque,图书馆,,,,
bien,好；很；非常,,,,
bien,好处,,,,
bient?t,马上，不久,,,,
à bient?t,等一会儿见,,,,
bleu,蓝色的,,,,
blond,金黄色的,,,,
b?uf,牛；牛肉,,,,
bol,碗,,,,
"bon,bonne",好的,,,,
bonjour,早上好,,,,
bord,边；岸边,,,,
au bord de,边；岸边,,,,
Bordeaux,波尔多（法国西部城市）,,,,
bouclé,环状的，卷曲的,,,,
Bouddha,佛，释伽牟尼,,,,
bout,末端，尽头,,,,
bronzé,青铜色的；晒黑的,,,,
brun,棕色的,,,,
buffet,碗橱,,,,
"bureau,x",办公室；办公桌,,,,
bureau de poste,邮局,,,,
?a,这个，那个,,,,
?a va,行好？好吗,,,,
"cadeau,-x",礼物,,,,
café,咖啡,,,,
calendrier ,日历,,,,
canapé,靠背长沙发,,,,
canoter,划船,,,,
cantine,食堂，饭厅,,,,
car(autocar),（英）大型客车,,,,
carnet,小本子,,,,
carotte,胡萝卜,,,,
carré,平方的,,,,
mètre carré,平方米,,,,
cas,情况，场合,,,,
dans ce cas,在这种情况下,,,,
cassette,盒式磁带,,,,
ce,这，那,,,,
"ce（cette,cet,ces)",这个，这些,,,,
cela,这个，那个,,,,
cent,一百,,,,
certains,某些人，有些人,,,,
chaise,椅子,,,,
chambre,卧室，寝室,,,,
chaque,每个,,,,
chargé,有负载的，充满的,,,,
charme,魅力,,,,
chaud,热的,,,,
chaussure,鞋,,,,
chemin,路,,,,
chercher,寻找,,,,
"cheveu,x",头发,,,,
chez,在…家里,,,,
Chine,中国,,,,
chinois,中国的；汉语,,,,
Chinois,中国人,,,,
cchoisir,选择，挑选,,,,
choix,选择，挑选,,,,
ch?mage,失业,,,,
être au ch?mage,失业,,,,
"chou,-x",白菜,,,,
ciel,天空,,,,
cinq,五,,,,
cinquante,五十,,,,
cité,都市 ,,,,
Cité universitaire,大学生宿舍区,,,,
clair,明亮的,,,,
claquer,发出劈劈啪啪声,,,,
classe,教室,,,,
coin,角落,,,,
collègue,同事,,,,
colline,山丘,,,,
combien(de),多少,,,,
Comme,如同,,,,
Comme,作为，当作,,,,
commencement,开始,,,,
commencer,开始,,,,
